N1	R1	N2	R2	N3	R3
186	46.40	182	43.60	182	35.00
187	27.80	183	43.25	183	43.20
188	16.20	184	42.00	184	47.00
189	49.20	185	40.60	185	43.60
190	38.00	186	53.50	186	28.00
191	45.40	187	35.40	187	31.20
192	47.20	188	21.25	188	29.80
193	38.80	189	49.20	189	42.20
194	55.20	190	42.20	190	31.00
195	40.40	191	45.60	191	53.60
196	38.00	192	52.60	192	57.00
197	33.60	193	44.80	193	48.00
198	51.20	194	49.80	194	44.80
199	65.40	195	44.40	195	55.50
200	49.00	196	43.80	196	25.25
201	52.75	197	32.00	197	42.75
202	52.80	198	53.80	198	59.40
203	48.20	199	67.20	199	61.00
204	42.00	200	57.00	200	47.75
205	57.40	201	52.40	201	43.00
206	35.25	202	48.60	202	46.25
207	25.00	203	49.80	203	58.80
208	49.60	204	45.20	204	44.20
209	35.40	205	57.60	205	63.60
210	40.00	206	41.75	206	47.40
211	67.80	207	43.00	207	30.50
212	52.20	208	58.00	208	38.00
213	17.50	209	48.40	209	55.75
214	43.00	211	70.40	211	74.20
215	54.60	212	52.60	212	38.20
216	55.80	213	36.00	213	24.00
217	48.80	214	49.40	214	35.20
218	54.25	215	58.40	215	58.00
219	37.20	216	32.80	216	48.25
220	42.20	217	33.60	217	37.25
221	63.20	218	25.50	218	26.33
222	50.00	219	42.50	219	47.60
223	49.60	220	40.00	220	51.60
224	33.00	221	61.60	221	53.40
225	33.40	222	51.60	222	46.20
226	63.60	223	49.20	223	42.00
227	47.40	224	33.25	224	28.40
228	55.00	225	31.25	225	30.00
229	60.00	226	61.00	226	52.00
230	19.60	227	50.40	227	48.60
231	37.25	228	41.50	228	38.33
232	55.80	229	44.80	229	39.80
234	36.80	231	33.00	231	36.00
235	21.33	232	59.60	232	57.00
236	52.80	234	43.67	234	51.20
237	32.40	235	18.67	235	23.00
238	65.25	236	51.00	236	55.00
239	63.80	237	42.40	237	62.80
240	60.40	238	55.80	238	35.40
242	58.80	239	64.00	239	42.00
243	48.20	240	55.40	240	49.25
244	55.67	242	46.40	241	10.20
245	72.00	243	42.80	242	30.00
246	43.20	244	49.60	243	31.50
247	61.80	245	38.40	244	52.00
248	57.40	246	30.60	245	40.00
249	47.80	247	44.25	246	33.60
250	54.00	248	37.60	247	49.20
251	46.20	249	40.60	248	39.00
252	57.00	250	52.20	249	42.40
253	51.80	251	44.20	250	52.00
254	61.20	252	64.00	251	21.00
255	41.00	253	46.20	252	44.00
256	61.00	254	54.60	253	32.40
257	62.50	255	46.00	254	38.00
258	46.00	256	53.60	255	26.80
259	66.60	257	58.40	256	52.33
260	52.20	258	58.00	257	54.60
261	60.25	259	63.00	258	41.00
262	61.40	260	25.50	259	55.40
263	36.25	261	51.00	260	20.00
264	48.80	262	61.60	261	50.80
265	43.00	263	40.40	262	65.60
266	42.20	264	28.20	263	40.60
267	51.60	265	21.80	264	46.25
268	38.20	266	51.40	265	34.00
269	70.20	267	48.80	266	49.20
270	56.60	268	41.80	267	42.20
271	44.80	269	59.25	268	43.00
272	51.60	270	58.20	269	70.60
273	47.40	271	47.00	270	46.00
274	28.00	272	52.40	271	42.40
275	30.00	273	38.33	272	56.60
276	48.75	274	33.00	273	43.00
277	53.00	275	37.67	274	47.40
278	66.00	276	39.00	275	33.75
279	56.40	277	56.80	276	47.00
280	51.00	278	62.00	277	56.20
281	27.40	279	47.80	278	64.75
282	53.60	280	45.75	279	44.80
283	48.00	281	20.67	280	40.50
284	49.80	282	52.67	281	21.50
285	30.40	283	49.00	282	30.00
286	46.00	284	60.00	283	48.00
287	56.80	285	27.60	284	49.33
288	34.25	286	39.80	285	43.60
289	46.80	287	46.20	286	47.00
290	47.00	288	49.00	287	46.20
291	54.40	289	46.40	288	49.40
292	36.80	290	48.00	289	32.25
293	58.80	291	42.25	290	32.00
294	64.20	292	59.75	291	49.00
295	59.20	293	55.60	292	33.00
296	38.50	294	58.20	293	52.75
297	50.25	295	43.20	294	39.60
298	47.60	296	26.00	295	51.40
299	32.80	297	57.50	296	40.00
300	50.80	298	49.20	297	47.00
301	55.60	299	27.20	298	52.00
302	55.60	300	53.00	299	35.00
303	46.40	301	58.00	300	52.80
304	49.60	302	50.60	301	56.00
		303	52.80	303	44.20
		304	44.00	304	39.20
